GiftId,Latitude,Longitude,Weight
58943,52.42894405,7.919718906,37.22746702
59093,30.24861404,14.3766811,1
59256,50.43550562,49.06410296,29.09280759
59285,3.286359059,30.19910101,22.68680988
59401,17.18230551,6.601210091,1
59452,59.48705522,26.55432767,6.657821347
59599,33.05955137,45.64398278,1
59764,7.184779992,44.92797907,3.247803696
59894,6.8976028,34.99790237,26.23914847
59952,22.40727762,13.03687611,50
60037,-73.55310273,32.80074335,10.2946096
60052,-4.473372372,34.60928062,1
60162,-12.54788461,31.37275724,12.45303077
60229,-16.08428656,34.24627992,46.56578039
60351,-73.52525124,47.8020792,1.857018777
60439,44.82874431,25.99056205,1
60719,3.801465823,16.7114318,29.15757541
60730,4.010465692,16.75795332,15.16052421
60813,-68.18289852,46.04210605,19.1068174
60814,-72.91638363,48.17554387,1
60857,33.4811211,48.33918959,10.63491075
61198,-2.92965718,16.63801497,1
61513,-1.635838763,34.87811418,17.93110039
61774,28.50479723,45.58903762,1.446696217
61781,-78.75117981,33.15118973,6.117348808
61942,15.44300017,35.03631667,16.59583755
61973,20.59278758,30.12870708,27.70159077
61998,-13.93284357,16.51711698,22.35009294
62022,-78.26119618,29.38091886,1
62147,-22.86235176,44.11669984,24.36670308
62156,-29.05799258,17.04272309,25.27601151
62353,19.88512347,30.14692098,1
62373,-79.30906198,32.17601598,6.16817485
62441,-80.25052,33.26522902,8.743741026
62529,60.96412619,26.85811123,50
62564,29.80224369,34.97743463,20.70544317
62635,-1.130525328,25.66288014,1
62768,-28.96500436,16.87201236,1
62781,48.09974802,7.892516629,8.27517737
62880,40.7200737,31.42735671,1
62922,-71.54389274,51.32389907,1
62942,37.89483214,30.0143858,7.888936926
62961,24.58333702,45.42452126,8.421376669
63048,-74.0063447,51.34993468,1
63210,32.48606274,6.973645454,4.842450785
63311,67.78502488,27.18291597,1
63378,81.6231062,-35.99078841,1
63688,17.45528388,13.96786665,1
63747,-11.46985955,14.24780512,5.008436791
63788,13.40765982,29.95756635,25.79373653
63865,15.88298922,25.45928851,3.11474756
63939,-74.08389974,49.06818083,1
64136,-71.68892031,33.7273654,9.668587012
64199,68.98034602,48.90161886,1
64363,-17.86500038,44.7890044,10.23817208
64467,44.53502107,7.423422248,1
64525,32.77057147,48.25079489,8.68176797
64679,16.49581679,47.26265376,4.163990792
64730,-0.998848358,14.30515731,22.07715197
64927,24.23877082,6.397128775,4.056529382
65272,-11.56410525,26.10814715,21.912976
65396,-5.264741308,-35.61277848,6.072189233
65479,-71.84011157,46.21039919,13.88215629
65503,9.692591221,29.85092477,29.20802536
65512,23.54074211,48.19654595,38.29569521
65743,30.11803887,30.18986597,12.57065887
65898,-83.83693387,-27.08394658,42.5718398
65937,4.388823995,44.74949148,26.3972648
65982,-7.446753824,14.39484781,3.954683581
66116,51.97123296,35.63022954,1
66238,-78.84680306,33.00121445,1
66241,-70.48105174,53.79056447,1.215435112
66614,30.57113446,48.20334194,7.379499317
66617,-18.4346369,26.40190572,18.54237403
66639,30.18650858,6.805865446,35.03552308
66836,57.02677239,48.89929182,18.02006838
