GiftId,Latitude,Longitude,Weight
66926,-69.45224188,33.3720295,35.27003991
66974,18.0593754,6.373790622,16.40184042
67032,-17.28109702,16.54921198,1
67074,-73.25345588,33.14721447,12.64829458
67247,-11.40944245,34.35715013,1
67289,-11.10219846,35.39238807,12.73338805
67455,15.80190414,45.31672345,4.19101776
67606,-14.84919695,34.3569197,38.00870323
67631,-27.32458958,16.70500575,28.39495745
67672,50.12733141,25.3873617,39.01801794
67725,-71.95968766,46.75341893,24.9253321
67876,48.82100846,35.61365133,1
67906,-69.2895003,46.49546766,1
67921,65.27976458,27.22275994,20.17611021
67996,6.847309069,44.95636056,12.64187896
68184,48.0328716,13.68515736,43.25053833
68210,19.30091132,34.79822785,2.487483378
68270,-13.70877096,34.23399433,43.45540936
68733,26.87246837,30.19647012,31.82680673
68867,-2.217568557,30.05534642,18.42920662
68876,-73.631191,50.31884353,1
68923,-85.88860831,-25.48593738,42.93688438
69177,-23.71697705,16.70499833,1
69248,15.2147034,6.909186066,1
69635,61.3199152,7.960330505,1
69688,-1.03931372,30.25222806,26.95566089
69792,-15.69586544,16.38222924,31.41558975
69972,0.146416282,16.67262315,12.39234886
70063,2.552229083,30.19475663,50
70073,2.293022387,44.79966219,5.31307736
70295,13.33568353,6.813188815,1
70385,-16.88817356,44.71032054,7.353767029
70499,20.24378409,47.68383896,18.20662696
70520,59.99754239,35.66674028,1
70521,14.68900318,6.927140569,1
70678,-77.72462556,35.35656194,21.23572567
70687,-23.92126488,26.18504856,7.309440102
70689,30.30541887,48.15917353,12.47370782
70774,11.28028338,31.42716546,1
70845,66.05540497,13.96506468,1
71014,17.13852949,13.93510349,1
71253,13.96225441,6.315439178,11.62416661
71335,68.41888672,27.04523075,23.95757788
71348,52.93333426,48.78278985,1
71369,24.22223585,14.06895003,25.51397042
71408,47.44759526,25.33722544,1
71558,0.412943845,16.69346843,16.10192307
71667,-1.478164174,30.3672742,13.3188465
71734,-6.303645718,-35.57680997,27.95327258
71852,55.81824176,30.29347814,9.677594216
71989,-32.00476231,25.15480248,4.909891176
71992,-0.336765457,25.7134043,11.53528873
72203,16.80406799,34.79429023,8.215248524
72444,26.49769532,14.21255547,1
72638,-80.58427156,32.28912183,6.477853332
72703,-74.81121599,49.22868817,3.057458522
72887,13.82859454,25.41322899,1
73085,7.90274616,14.89634023,1
73183,-80.67572707,27.14364356,1
73258,54.5238679,45.64858573,1
73374,24.55079797,14.13114895,1
73482,49.03312842,31.4381176,1
73588,22.47006217,14.06840462,1
73666,-69.98692463,53.88191548,1
73818,37.04313277,48.50834523,36.60002528
73984,5.316712414,30.11489307,26.01505983
74179,8.66177949,35.14037502,6.912999992
74198,-14.46120083,34.36829084,31.4647096
74463,29.02729083,30.158688,1
74765,50.17082818,14.12600564,1
74782,-74.14256852,51.34367829,5.180687377
74895,58.07116802,14.0203498,19.60980214
75047,36.06401437,7.12925065,43.69080653
75132,-16.241819,26.17497266,1
75197,-7.411222003,34.36439253,15.94985415
